D,Sales,Post,Image,Likes,Comments,Shares
1/2/2017,69506.42069,0,0,0,0,0
1/3/2017,69309.13103,0,0,0,0,0
1/4/2017,69827.32414,0,0,0,0,0
1/5/2017,69640.56552,0,0,0,0,0
1/6/2017,69533.14483,1,1,2,0,0
1/7/2017,69271.97931,1,1,2,0,0
1/9/2017,69380.02759,0,0,0,0,0
1/10/2017,69613.44138,0,0,0,0,0
1/11/2017,69532.62069,0,0,0,0,0
1/12/2017,69633.32414,0,0,0,0,0
1/13/2017,70716.13103,0,0,0,0,0
1/14/2017,70224.69655,0,0,0,0,0
1/16/2017,69744.9931,0,0,0,0,0
1/17/2017,69504.95862,0,0,0,0,0
1/18/2017,69684.6,0,0,0,0,0
1/19/2017,69535.57931,1,1,0,0,0
1/20/2017,70816.33793,0,0,0,0,0
1/21/2017,70445.11034,1,1,1,0,0
1/23/2017,69484.63448,0,0,0,0,0
1/24/2017,69576.69655,0,0,0,0,0
1/25/2017,69412.28276,0,0,0,0,0
1/26/2017,69642.97931,0,0,0,0,0
1/27/2017,70938.50345,0,0,0,0,0
1/28/2017,70143.18621,0,0,0,0,0
1/30/2017,69608.46897,0,0,0,0,0
1/31/2017,69521.67586,0,0,0,0,0
2/1/2017,69991.11034,0,0,0,0,0
2/2/2017,69575.4069,0,0,0,0,0
2/3/2017,70162.22069,0,0,0,0,0
2/4/2017,70404.4,0,0,0,0,0
2/6/2017,69532.73793,0,0,0,0,0
2/7/2017,69240.09655,0,0,0,0,0
2/8/2017,69584.51034,0,0,0,0,0
2/9/2017,69563.08276,0,0,0,0,0
2/10/2017,70411.90345,0,0,0,0,0
2/11/2017,70226.82759,0,0,0,0,0
2/13/2017,69729.24828,0,0,0,0,0
2/14/2017,70491.6,1,1,6,0,0
2/15/2017,70049.51724,0,0,0,0,0
2/16/2017,70036.95862,0,0,0,0,0
2/17/2017,70532.41379,0,0,0,0,0
2/18/2017,70312.93103,0,0,0,0,0
2/20/2017,69761.77931,0,0,0,0,0
2/21/2017,69495.1931,0,0,0,0,0
2/22/2017,69588.98621,0,0,0,0,0
2/23/2017,69757.97931,0,0,0,0,0
2/24/2017,70548.73103,0,0,0,0,0
2/25/2017,70214.6,0,0,0,0,0
2/27/2017,69332.15172,0,0,0,0,0
2/28/2017,69650.96552,0,0,0,0,0
3/1/2017,69867.31034,0,0,0,0,0
3/2/2017,69686.26207,0,0,0,0,0
3/3/2017,70868.4069,0,0,0,0,0
3/4/2017,70267.31034,0,0,0,0,0
3/6/2017,69620.64828,0,0,0,0,0
3/7/2017,69836.97931,0,0,0,0,0
3/8/2017,70209.97931,0,0,0,0,0
3/9/2017,70273.57241,0,0,0,0,0
3/10/2017,70995.38621,0,0,0,0,0
3/11/2017,69510.33793,0,0,0,0,0
3/13/2017,69587.24138,0,0,0,0,0
3/14/2017,69652.27586,0,0,0,0,0
3/15/2017,70118.75172,0,0,0,0,0
3/16/2017,69788.53793,0,0,0,0,0
3/17/2017,70375.92414,1,1,19,1,0
3/18/2017,70764.81379,0,0,0,0,0
3/20/2017,69803.86897,0,0,0,0,0
3/21/2017,69848.17241,0,0,0,0,0
3/22/2017,70846.06207,0,0,0,0,0
3/23/2017,69469.49655,0,0,0,0,0
3/24/2017,70817.28276,0,0,0,0,0
3/25/2017,70249.13103,0,0,0,0,0
3/27/2017,69714.93793,0,0,0,0,0
3/28/2017,69887.90345,1,1,9,1,0
3/29/2017,70162.8,0,0,0,0,0
3/30/2017,69696.73103,1,1,36,2,0
3/31/2017,70566.07586,0,0,0,0,0
4/1/2017,70443.07586,0,0,0,0,0
4/3/2017,69525.43448,0,0,0,0,0
4/4/2017,69514.91034,0,0,0,0,0
4/5/2017,69803.28276,0,0,0,0,0
4/6/2017,69692.77241,0,0,0,0,0
4/7/2017,70779.71724,1,1,2,0,0
4/8/2017,70899.37931,0,0,0,0,0
4/10/2017,69773.51724,0,0,0,0,0
4/11/2017,70015.23448,0,0,0,0,0
4/12/2017,70270.17241,0,0,0,0,0
4/13/2017,69868.51034,0,0,0,0,0
4/14/2017,70407.4,0,0,0,0,0
4/15/2017,70062.95172,0,0,0,0,0
4/17/2017,69429.07586,1,0,2,0,0
4/18/2017,69995.17241,1,1,12,0,0
4/19/2017,69833.2069,1,1,0,0,0
4/20/2017,70132.84138,1,1,3,0,0
4/21/2017,70899.33103,1,1,2,0,0
4/22/2017,70804.57241,0,0,0,0,0
4/24/2017,69583.06897,1,0,3,0,0
4/25/2017,69800.24138,0,0,0,0,0
4/26/2017,69990.91034,0,0,0,0,0
4/27/2017,70094.05517,0,0,0,0,0
4/28/2017,70582.64138,1,1,16,1,0
4/29/2017,70604.85517,0,0,0,0,0
5/1/2017,70069.93103,1,1,2,0,0
5/2/2017,69600.31724,0,0,0,0,0
5/3/2017,70114.82759,0,0,0,0,0
5/4/2017,69738.90345,0,0,0,0,0
5/5/2017,70870.62069,1,1,4,0,0
5/6/2017,70800.2069,0,0,0,0,0
