Date,Sales
1/2/2017,3274.132
1/3/2017,3216.918
1/4/2017,3367.194
1/5/2017,3313.034
1/6/2017,3281.882
1/7/2017,3206.144
1/9/2017,3237.478
1/10/2017,3305.168
1/11/2017,3281.73
1/12/2017,3310.934
1/13/2017,3624.948
1/14/2017,3482.432
1/16/2017,3343.318
1/17/2017,3273.708
1/18/2017,3325.804
1/19/2017,3282.588
1/20/2017,3654.008
1/21/2017,3546.352
1/23/2017,3267.814
1/24/2017,3294.512
1/25/2017,3246.832
1/26/2017,3313.734
1/27/2017,3689.436
1/28/2017,3458.794
1/30/2017,3303.726
1/31/2017,3278.556
2/1/2017,3414.692
2/2/2017,3294.138
2/3/2017,3464.314
2/4/2017,3534.546
2/6/2017,3281.764
2/7/2017,3196.898
2/8/2017,3296.778
2/9/2017,3290.564
2/10/2017,3536.722
2/11/2017,3483.05
2/13/2017,3338.752
2/14/2017,3559.834
2/15/2017,3431.63
2/16/2017,3427.988
2/17/2017,3571.67
2/18/2017,3508.02
2/20/2017,3348.186
2/21/2017,3270.876
2/22/2017,3298.076
2/23/2017,3347.084
2/24/2017,3576.402
2/25/2017,3479.504
2/27/2017,3223.594
2/28/2017,3316.05
3/1/2017,3378.79
3/2/2017,3326.286
3/3/2017,3669.108
3/4/2017,3494.79
3/6/2017,3307.258
3/7/2017,3369.994
3/8/2017,3478.164
3/9/2017,3496.606
3/10/2017,3705.932
3/11/2017,3275.268
3/13/2017,3297.57
3/14/2017,3316.43
3/15/2017,3451.708
3/16/2017,3355.946
3/17/2017,3526.288
3/18/2017,3639.066
3/20/2017,3360.392
3/21/2017,3373.24
3/22/2017,3662.628
3/23/2017,3263.424
3/24/2017,3654.282
3/25/2017,3489.518
3/27/2017,3334.602
3/28/2017,3384.762
3/29/2017,3464.482
3/30/2017,3329.322
3/31/2017,3581.432
4/1/2017,3545.762
4/3/2017,3279.646
4/4/2017,3276.594
4/5/2017,3360.222
4/6/2017,3328.174
4/7/2017,3643.388
4/8/2017,3678.09
4/10/2017,3351.59
4/11/2017,3421.688
4/12/2017,3495.62
4/13/2017,3379.138
4/14/2017,3535.416
4/15/2017,3435.526
4/17/2017,3251.702
4/18/2017,3415.87
4/19/2017,3368.9
4/20/2017,3455.794
4/21/2017,3678.076
4/22/2017,3650.596
4/24/2017,3296.36
4/25/2017,3359.34
4/26/2017,3414.634
4/27/2017,3444.546
4/28/2017,3586.236
4/29/2017,3592.678
5/1/2017,3437.55
5/2/2017,3301.362
5/3/2017,3450.57
5/4/2017,3341.552
5/5/2017,3669.75
5/6/2017,3649.33
5/8/2017,3339.65
5/9/2017,3374.458
5/10/2017,3408.576
5/11/2017,3392.222
5/12/2017,3642.564
5/13/2017,3589.644
5/15/2017,3413.984
5/16/2017,3384.548
5/17/2017,3353.612
5/18/2017,3458.748
5/19/2017,3733.552
5/20/2017,3484.224
5/22/2017,3565.24
5/23/2017,3369.054
5/24/2017,3360.224
5/25/2017,3445.05
5/26/2017,3468.796
5/27/2017,3569.782
5/30/2017,3312.208
5/31/2017,3448.69
6/1/2017,3429.536
6/2/2017,3501.052
6/3/2017,3563.51
6/5/2017,3320.434
6/6/2017,3384.354
6/7/2017,3348.296
6/8/2017,3416.476
6/9/2017,3622.858
6/10/2017,3520.916
6/12/2017,3409.68
6/13/2017,3513.69
6/14/2017,3309.924
6/15/2017,3496.898
6/16/2017,3545.256
6/17/2017,3526.756
6/19/2017,3358.448
6/20/2017,3383.908
6/21/2017,3381.148
6/22/2017,3572.646
6/23/2017,3648.856
6/24/2017,3473.522
6/26/2017,3335.836
6/27/2017,3419.902
6/28/2017,3486.208
6/29/2017,3460.802
6/30/2017,3843.56
7/1/2017,3622.366
7/3/2017,3583.042
7/5/2017,3313.114
7/6/2017,3379.648
7/7/2017,3576.22
7/8/2017,3601.17
7/10/2017,3424.574
7/11/2017,3437.76
7/12/2017,3443.454
7/13/2017,3483.794
7/14/2017,3803.516
7/15/2017,3536.988
7/17/2017,3458.79
7/18/2017,3468.03
7/19/2017,3408.458
7/20/2017,3531.902
7/21/2017,3858.136
7/22/2017,4324.39
